"game_date","game_id","team_home","team_away","period","clock","secs_game","event_num","msg_type","act_type","team_abb","poss_team","poss_home","poss_away","description","action_type","sub_type","and1","total_fta","team_ft","player_ft","player1_name","event_pts","score_home","score_away","poss_number","margin_start_poss","start_poss","pts_poss","ids_lineup_off","names_lineup_off","ids_lineup_def","names_lineup_def","garbage_time","id_player_off_pg","id_player_off_sg","id_player_off_sf","id_player_off_pf","id_player_off_c","id_player_def_pg","id_player_def_sg","id_player_def_sf","id_player_def_pf","id_player_def_c"
2026-04-19,"0042500101","DET","ORL",1,"09:24.00",156,33,4,0,"ORL","ORL",0,0,"F. Wagner REBOUND (Off:0 Def:1)","rebound","defensive",NA,NA,NA,NA,"1630532 Franz Wagner",0,3,8,10,5,"09:24.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"09:18.00",162,34,5,2,"ORL","ORL",0,1,"F. Wagner lost ball TURNOVER (1 TO)","turnover","lost ball",NA,NA,NA,NA,"1630532 Franz Wagner",0,3,8,10,NA,"09:24.00",0,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"09:18.00",162,35,95,0,"DET","DET",0,0,"A. Thompson STEAL (1 STL)","steal",NA,NA,NA,NA,NA,"1641709 Ausar Thompson",0,3,8,11,-5,"09:18.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"09:13.00",167,36,5,40,"DET","DET",1,0,"D. Robinson lost ball out-of-bounds TURNOVER (1 TO)","turnover","out-of-bounds",NA,NA,NA,NA,"1629130 Duncan Robinson",0,3,8,11,NA,"09:18.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:58.00",182,37,2,1,"ORL","ORL",0,0,"MISS J. Suggs 3PT","3pt","Jump Shot",NA,NA,NA,NA,"1630591 Jalen Suggs",0,3,8,12,5,"09:13.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:55.00",185,38,4,0,"ORL","ORL",0,0,"W. Carter Jr. REBOUND (Off:1 Def:0)","rebound","offensive",NA,NA,NA,NA,"1628976 Wendell Carter Jr.",0,3,8,12,NA,"09:13.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:52.00",188,39,2,47,"ORL","ORL",0,1,"MISS F. Wagner 7' turnaround Shot","2pt","Jump Shot",NA,NA,NA,NA,"1630532 Franz Wagner",0,3,8,12,NA,"09:13.00",0,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:50.00",190,40,4,0,"DET","DET",0,0,"C. Cunningham REBOUND (Off:0 Def:1)","rebound","defensive",NA,NA,NA,NA,"1630595 Cade Cunningham",0,3,8,13,-5,"08:50.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:47.00",193,41,6,2,"ORL","DET",1,0,"D. Bane shooting personal FOUL (2 PF) (Harris 2 FT)","foul","personal",NA,2,"DET","202699 Tobias Harris","1630217 Desmond Bane",0,3,8,13,NA,"08:50.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:47.00",193,43,3,11,"DET","DET",0,0,"T. Harris Free Throw 1 of 2 (1 PTS)","freethrow","1 of 2",NA,NA,NA,NA,"202699 Tobias Harris",1,4,8,13,NA,"08:50.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
